age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price
5.0,14.0,90000.0,2.0,5.0,5.0,7.0,5.0,1400000.0
2.0,14.0,30206.0,1.0,7.0,7.0,0.0,3.0,1099000.0
5.0,20.0,30000.0,2.0,5.0,6.0,0.0,5.0,1000000.0
7.0,19.0,51616.0,2.0,5.0,7.0,0.0,6.0,775000.0
7.0,11.0,110000.0,2.0,1.0,5.0,0.0,3.0,380000.0
1.0,2.0,30000.0,1.0,5.0,5.0,0.0,5.0,1300003.0
8.0,2.0,60000.0,1.0,0.0,5.0,0.0,5.0,250000.0
11.0,3.0,55000.0,1.0,0.0,5.0,0.0,3.0,450000.0
2.0,25.0,27000.0,2.0,5.0,7.0,7.0,5.0,2500000.0
14.0,17.0,99000.0,1.0,0.0,5.0,0.0,8.0,315000.0
1.0,19.0,30000.0,2.0,5.0,7.0,0.0,5.0,1750000.0
24.0,3.0,250000.0,1.0,0.0,5.0,0.0,9.0,50000.0
11.0,9.0,100000.0,2.0,2.0,5.0,0.0,8.0,467000.0
5.0,18.0,61031.0,2.0,5.0,7.0,7.0,3.0,3025000.0
3.0,7.0,60000.0,2.0,5.0,6.0,0.0,6.0,1551000.0
9.0,7.0,186000.0,2.0,0.0,5.0,0.0,11.0,300000.0
3.0,19.0,39958.0,2.0,5.0,4.0,4.0,3.0,1500000.0
6.0,2.0,78000.0,2.0,2.0,5.0,0.0,5.0,400000.0
7.0,19.0,70000.0,2.0,5.0,7.0,0.0,5.0,1499000.0
1.0,8.0,17543.0,3.0,5.0,5.0,0.0,5.0,839000.0
6.0,18.0,100000.0,2.0,5.0,7.0,0.0,15.0,1300000.0
4.0,20.0,40148.0,1.0,5.0,6.0,5.0,3.0,1599000.0
6.0,13.0,56853.0,1.0,1.0,5.0,0.0,3.0,602980.0
3.0,18.0,40000.0,1.0,0.0,5.0,0.0,5.0,839000.0
4.0,8.0,120000.0,2.0,5.0,5.0,7.0,5.0,1600000.0
3.0,19.0,66000.0,2.0,5.0,4.0,0.0,3.0,1190000.0
0.0,19.0,1000.0,2.0,5.0,7.0,0.0,5.0,1000000.0
5.0,3.0,22000.0,2.0,0.0,5.0,0.0,3.0,650000.0
2.0,12.0,27000.0,1.0,5.0,5.0,0.0,5.0,800000.0
2.0,2.0,20000.0,1.0,0.0,5.0,0.0,5.0,530000.0
11.0,19.0,144000.0,2.0,5.0,7.0,0.0,6.0,507986.0
7.0,3.0,51000.0,1.0,0.0,5.0,0.0,3.0,350000.0
2.0,31.0,21000.0,1.0,2.0,5.0,4.0,3.0,15300000.0
5.0,3.0,45102.0,2.0,5.0,5.0,0.0,3.0,675000.0
2.0,2.0,10000.0,1.0,2.0,5.0,0.0,5.0,850000.0
5.0,8.0,150000.0,1.0,5.0,5.0,0.0,5.0,1158000.0
14.0,2.0,90000.0,1.0,2.0,5.0,0.0,8.0,240000.0
9.0,3.0,40000.0,1.0,0.0,5.0,0.0,6.0,435000.0
10.0,2.0,90000.0,1.0,0.0,5.0,0.0,8.0,200000.0
10.0,9.0,169000.0,2.0,0.0,5.0,0.0,5.0,225000.0
4.0,8.0,50000.0,1.0,0.0,5.0,0.0,3.0,500000.0
3.0,20.0,72000.0,2.0,5.0,6.0,4.0,3.0,3700000.0
1.0,19.0,5000.0,9.0,17.0,5.0,7.0,3.0,2200008.0
23.0,2.0,35000.0,1.0,0.0,4.0,0.0,5.0,35000.0
9.0,8.0,320000.0,1.0,0.0,5.0,0.0,5.0,250000.0
11.0,16.0,127030.0,2.0,2.0,5.0,0.0,9.0,349999.0
1.0,2.0,7893.0,1.0,0.0,5.0,0.0,5.0,660000.0
5.0,7.0,50000.0,1.0,0.0,5.0,0.0,8.0,525000.0
7.0,2.0,100000.0,1.0,0.0,5.0,0.0,11.0,340000.0
7.0,27.0,75000.0,2.0,5.0,5.0,7.0,3.0,3700000.0
6.0,19.0,66000.0,2.0,5.0,7.0,0.0,5.0,860000.0
3.0,7.0,54000.0,9.0,4.0,5.0,7.0,3.0,1100000.0
7.0,2.0,60000.0,1.0,2.0,5.0,0.0,5.0,500000.0
7.0,4.0,90000.0,2.0,5.0,5.0,0.0,3.0,499000.0
0.0,7.0,10000.0,2.0,5.0,5.0,0.0,5.0,1485000.0
9.0,31.0,80492.0,2.0,5.0,5.0,7.0,6.0,1650000.0
2.0,7.0,30000.0,1.0,5.0,5.0,0.0,5.0,750000.0
3.0,18.0,50000.0,2.0,5.0,7.0,7.0,5.0,3500000.0
12.0,3.0,200000.0,2.0,0.0,5.0,0.0,6.0,300000.0
7.0,7.0,162500.0,1.0,0.0,5.0,0.0,3.0,350000.0
0.0,14.0,6000.0,2.0,5.0,5.0,7.0,5.0,1350000.0
6.0,8.0,56000.0,1.0,0.0,5.0,2.0,6.0,415000.0
1.0,19.0,62000.0,2.0,5.0,7.0,0.0,3.0,1645000.0
11.0,13.0,50488.0,1.0,2.0,5.0,0.0,5.0,600000.0
12.0,2.0,57000.0,1.0,0.0,4.0,0.0,8.0,150000.0
2.0,7.0,25000.0,1.0,0.0,5.0,0.0,3.0,750000.0
4.0,8.0,59000.0,1.0,5.0,5.0,3.0,3.0,1220000.0
11.0,8.0,85000.0,2.0,1.0,5.0,0.0,9.0,300000.0
8.0,3.0,95000.0,2.0,5.0,5.0,0.0,3.0,525000.0
8.0,27.0,43893.0,2.0,5.0,5.0,7.0,3.0,3195000.0
10.0,2.0,78000.0,1.0,0.0,5.0,0.0,11.0,255000.0
12.0,16.0,120000.0,2.0,2.0,5.0,0.0,11.0,180000.0
3.0,7.0,50000.0,3.0,0.0,5.0,0.0,5.0,675000.0
9.0,4.0,35105.0,1.0,0.0,5.0,0.0,5.0,240000.0
17.0,8.0,130000.0,1.0,0.0,5.0,0.0,14.0,60000.0
14.0,7.0,70248.0,1.0,2.0,5.0,0.0,9.0,140000.0
11.0,12.0,132000.0,2.0,5.0,5.0,0.0,6.0,245000.0
1.0,31.0,9433.0,2.0,2.0,5.0,4.0,3.0,5450000.0
